시구,설치장소,주소,Latitude,Longitude,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,개나리푸르지오,서울특별시 강남구 역삼동 755-1,37.4997212,127.0499795,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,공무원연금공단 서울지부(상록회관),서울특별시 강남구 역삼동 701,37.5038595,127.0431599,1,0,"SM3 Z.E,테슬라",,
서울특별시,대치2문화센터 공영주차장,서울특별시 강남구 대치동 980-9,37.5022565,127.0641674,1,0,"SM3 Z.E,테슬라",,
서울특별시,래미안삼성1차,서울특별시 강남구 삼성동 103-22,37.5171344,127.063973,0,2,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV",,
서울특별시,삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8,37.5171818,127.0443287,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡리엔파크1단지,서울특별시 강남구 세곡동 508,37.4642292,127.1005027,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,37.4641688,127.1027546,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡푸르지오아파트,서울특별시 강남구 세곡동 533,37.4667789,127.0929671,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,아크로힐스논현,서울특별시 강남구 논현동 276-1,37.5095247,127.038955,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,역삼e-편한세상,서울특별시 강남구 역삼동 755-4,37.4987773,127.0498786,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,역삼래미안,서울특별시 강남구 역삼동 757,37.4975157,127.0500483,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,우정에쉐르 3차,서울특별시 강남구 대치동 950,37.506883,127.062278,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,37.470254,127.1184614,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,현대까르띠에710아파트,서울특별시 강남구 역삼동 710,37.5014704,127.0449215,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강동보건소,서울특별시 강동구 성내동 541-2,37.5292319,127.1255617,1,0,"SM3 Z.E,테슬라",,
서울특별시,강동송파지사,서울특별시 강동구 둔촌동 522-9,37.5238222,127.1355704,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강동아트센터(강동문화재단),서울특별시 강동구 상일동 477,37.5510531,127.1575617,2,0,"SM3 Z.E,테슬라",,
서울특별시,삼익가든아파트,서울특별시 강동구 명일동 260-1,37.5460424,127.1471773,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,성내동중앙하이츠,서울특별시 강동구 성내동 410-2,37.5305277,127.1335445,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,천호유수지,서울특별시 강동구 천호동 329,37.5447886,127.1218778,2,0,"SM3 Z.E,테슬라",,
서울특별시,힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,37.5488496,127.1253672,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강북문화예술회관,서울특별시 강북구 수유동 360-10,37.6407905,127.0134278,1,0,"SM3 Z.E,테슬라",,
서울특별시,래미안미아1차 아파트,서울특별시 강북구 미아동 797,37.6259763,127.0194053,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미아동부센트레빌,서울특별시 강북구 미아동 474,37.6136764,127.0257085,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미아한일유앤아이APT,서울특별시 강북구 미아동 1355,37.6148252,127.0365802,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,e편한세상염창,서울특별시 강서구 염창동 309,37.5490146,126.8707483,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강서경찰서 민원인주차장,서울특별시 강서구 화곡동 980-27,37.5512778,126.8500113,1,0,"SM3 Z.E,테슬라",,
서울특별시,마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,37.5578892,126.8349462,1,0,"SM3 Z.E,테슬라",,
