시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,개나리푸르지오,서울특별시 강남구 역삼동 755-1,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,공무원연금공단 서울지부(상록회관),서울특별시 강남구 역삼동 701,1,0,"SM3 Z.E,테슬라",,
서울특별시,대치2문화센터 공영주차장,서울특별시 강남구 대치동 980-9,1,0,"SM3 Z.E,테슬라",,
서울특별시,래미안삼성1차,서울특별시 강남구 삼성동 103-22,0,2,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV",,
서울특별시,삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡리엔파크1단지,서울특별시 강남구 세곡동 508,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,세곡푸르지오아파트,서울특별시 강남구 세곡동 533,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,아크로힐스논현,서울특별시 강남구 논현동 276-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,역삼e-편한세상,서울특별시 강남구 역삼동 755-4,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,역삼래미안,서울특별시 강남구 역삼동 757,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,우정에쉐르 3차,서울특별시 강남구 대치동 950,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,현대까르띠에710아파트,서울특별시 강남구 역삼동 710,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,강동보건소,서울특별시 강동구 성내동 541-2,1,0,"SM3 Z.E,테슬라",,
서울특별시,강동송파지사,서울특별시 강동구 둔촌동 522-9,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
